intern_id,intern_name,task_completion_rate,avg_task_completion_time,attendance_percentage,feedback_rating,deadlines_missed,github_commits,communication_score,learning_speed,meeting_participation,work_hours_per_day,stress_level,final_performance_score,performance_category
1255,Cheryl Lowe,65,2.69,70,1.5,3,20,1,1,3,9.0,3,44.95,Needs Improvement
1256,Maria Compton,84,3.44,54,3.0,2,128,7,4,3,4.4,1,68.42,Average
1257,Faith Blackwell,79,7.63,63,1.2,7,214,8,6,6,6.7,5,45.23,Needs Improvement
1258,Paul Davis,70,6.55,86,5.0,6,260,4,1,6,7.1,6,46.7,Needs Improvement
1259,Michelle Marsh,71,8.71,66,2.2,8,171,10,6,2,9.9,4,45.67,Needs Improvement
1260,Adam Davis,84,2.09,94,2.7,3,66,3,2,3,6.6,10,44.36,Needs Improvement
1261,Jesus Malone,88,9.0,58,4.9,2,47,8,1,5,11.4,5,77.64,Average
1262,Walter Jones,69,4.15,96,3.7,0,258,6,6,7,8.2,1,76.26,Average
1263,Brian Roberts,94,12.91,75,2.6,7,115,8,5,5,7.8,7,36.59,Needs Improvement
1264,Ricky Johnson,96,6.2,75,4.9,10,286,5,1,4,8.7,2,60.66,Average
1265,Jennifer Rose,89,5.15,57,4.2,8,27,9,2,1,2.8,10,30.49,Needs Improvement
1266,Chelsea Swanson,58,2.4,98,3.1,6,229,2,4,2,10.7,3,61.16,Average
1267,Matthew Johnson,54,5.67,70,4.5,6,205,10,8,9,10.6,5,68.67,Average
1268,Ronald Ramos,65,12.01,71,2.3,8,137,10,9,10,7.0,3,44.58,Needs Improvement
1269,Miss Amanda Nelson DDS,82,1.78,64,3.7,5,132,5,2,7,8.1,3,65.49,Average
1270,Angela Rogers,85,12.44,80,3.2,10,55,5,6,10,7.3,6,25.52,Needs Improvement
1271,Paul Brown,67,10.88,61,1.1,5,43,9,3,5,9.0,8,28.4,Needs Improvement
1272,John Garcia,77,2.66,93,2.2,10,134,10,8,1,10.9,4,57.24,Needs Improvement
1273,Jessica Holloway,77,14.97,97,4.9,4,145,4,2,7,7.9,3,60.41,Average
1274,Candice Bennett,93,1.87,53,1.7,1,210,4,7,6,6.4,9,60.36,Average
1275,Melissa Baker,54,13.71,51,1.0,3,162,10,6,3,11.2,1,45.73,Needs Improvement
1276,Jodi Smith,43,14.86,81,3.3,1,66,4,4,10,3.9,10,25.68,Needs Improvement
1277,Johnny Moore,61,14.73,60,3.5,7,142,5,3,4,6.1,5,30.15,Needs Improvement
1278,Sarah Rogers,78,8.56,69,4.9,9,145,7,4,2,4.4,2,40.92,Needs Improvement
1279,David Williamson,97,3.6,50,3.7,4,128,6,7,1,5.2,7,55.45,Needs Improvement
1280,Warren Cameron,91,11.17,82,3.2,10,264,8,8,5,11.1,1,73.13,Average
1281,Karen Dean,54,12.68,87,4.9,4,25,8,3,6,3.4,3,32.65,Needs Improvement
1282,Nicholas Dixon,78,4.45,70,2.1,9,190,4,8,9,5.6,2,51.32,Needs Improvement
1283,Bethany Jenkins,54,9.54,92,2.5,7,240,8,10,2,11.5,2,65.19,Average
1284,Caleb Armstrong,47,14.22,61,1.8,9,253,3,2,6,8.0,7,8.27,Needs Improvement
1285,Tracie Gutierrez,67,4.54,69,1.7,2,172,8,2,9,4.1,8,42.22,Needs Improvement
1286,Matthew Barry,89,5.22,64,2.5,9,128,6,3,3,11.7,1,53.59,Needs Improvement
1287,Anthony Todd,40,1.64,52,1.4,0,137,4,9,4,8.5,7,52.59,Needs Improvement
1288,Donna Armstrong,81,10.69,64,3.2,0,230,4,2,2,5.9,7,40.13,Needs Improvement
1289,Heather Marshall,60,10.36,75,3.3,1,129,5,1,6,8.8,7,42.08,Needs Improvement
1290,Christy Chavez,66,2.57,83,4.8,8,86,1,8,3,2.5,5,35.95,Needs Improvement
1291,Adam Yu,56,5.91,59,1.4,10,233,6,8,6,11.1,4,38.25,Needs Improvement
1292,Scott Torres,79,8.61,98,2.3,9,185,2,10,2,7.3,3,52.22,Needs Improvement
1293,James Tucker,100,12.78,78,3.9,4,162,3,7,5,6.7,6,55.95,Needs Improvement
1294,Joseph Peters,79,3.62,54,4.4,5,176,3,6,9,5.7,6,45.04,Needs Improvement
1295,James Wilson,40,12.9,64,3.0,2,194,5,1,7,7.8,4,43.38,Needs Improvement
1296,Maria Flores,65,4.24,68,3.5,10,54,4,10,9,10.4,10,44.68,Needs Improvement
1297,Gina Woods,45,7.81,90,3.7,1,270,1,5,8,3.2,2,52.02,Needs Improvement
1298,Allen Garcia,58,4.89,52,2.0,1,150,4,6,5,6.3,2,55.28,Needs Improvement
1299,Terri Henry,69,1.35,91,2.7,7,144,4,2,1,4.3,3,37.31,Needs Improvement
1300,Steven Brown,78,5.71,97,1.5,5,214,2,6,6,4.7,7,38.12,Needs Improvement
1301,Amanda Fitzgerald,77,14.27,80,1.7,7,109,3,3,8,3.8,4,24.5,Needs Improvement
1302,Bruce Hensley,58,3.61,59,4.8,1,215,9,8,10,10.5,10,73.72,Average
1303,Anthony Oneal,89,10.67,62,4.6,5,120,10,4,5,9.9,8,54.13,Needs Improvement
1304,Stacy Smith,90,11.46,83,3.1,7,258,7,10,10,8.5,8,60.72,Average
1305,Courtney Roberts,88,6.31,65,2.3,9,152,8,6,6,10.8,6,54.71,Needs Improvement
1306,Alexis Henson,41,7.5,85,1.6,4,111,5,4,1,7.0,8,40.39,Needs Improvement
1307,Colin Vega,90,3.77,94,3.9,8,41,9,9,10,6.5,4,70.46,Average
1308,Christian Wolf,98,5.14,99,4.3,7,78,7,3,8,2.4,1,50.5,Needs Improvement
1309,Jonathan Nelson,84,13.51,62,4.4,8,169,6,5,2,10.3,6,35.02,Needs Improvement
1310,Austin Lutz,88,7.03,67,3.7,1,58,5,4,1,2.2,9,42.39,Needs Improvement
1311,Jose Parker,59,4.23,67,4.5,1,27,2,2,4,5.2,8,44.48,Needs Improvement
1312,Donna Mendez,79,9.8,78,3.1,1,273,1,8,10,7.7,1,66.72,Average
1313,Nicole Salazar,62,14.58,78,4.8,0,63,2,2,10,2.8,1,48.07,Needs Improvement
1314,Dale Peters,87,10.81,51,1.3,6,198,6,1,3,7.5,1,29.62,Needs Improvement
1315,Dominique Knapp,89,6.19,90,1.0,3,291,7,1,10,7.7,2,68.2,Average
1316,Lisa Melton,83,5.96,70,3.5,3,96,1,5,6,2.7,9,39.52,Needs Improvement
1317,Desiree Jones,92,8.15,54,4.5,2,174,5,2,4,9.1,2,62.66,Average
1318,Scott Wiley,41,3.87,95,2.3,5,231,9,8,5,6.2,1,66.38,Average
1319,Chelsea Williamson,84,5.69,99,2.2,8,172,3,2,10,4.1,9,31.55,Needs Improvement
1320,Jessica Terry,95,9.76,67,3.3,9,43,7,7,2,10.3,7,47.93,Needs Improvement
1321,Caitlin Smith,50,2.57,69,2.2,7,242,3,5,3,9.3,5,50.57,Needs Improvement
1322,Patrick Nunez,73,7.24,53,1.9,10,204,9,7,10,6.7,5,48.34,Needs Improvement
1323,Bonnie Monroe,64,13.27,67,2.7,2,237,8,3,2,10.7,3,62.91,Average
1324,Danielle Lane,93,7.97,58,4.4,4,62,9,5,7,9.1,9,58.44,Needs Improvement
1325,William Gonzalez,88,13.99,67,4.3,2,193,8,7,9,3.6,4,58.48,Needs Improvement
1326,Kathleen Young,41,8.72,76,3.7,6,43,6,2,4,11.5,4,53.71,Needs Improvement
1327,Justin Buck,60,3.89,74,3.2,1,18,9,10,4,6.1,3,70.16,Average
1328,Eric Jones,90,12.64,68,1.2,2,140,9,4,9,5.9,10,42.08,Needs Improvement
1329,Brian Faulkner MD,92,7.45,54,4.5,10,110,5,6,7,5.0,9,36.4,Needs Improvement
1330,Jeremy Lee,97,10.5,86,1.5,0,18,3,2,8,3.1,2,47.4,Needs Improvement
1331,Jared White,72,4.03,90,1.2,4,159,3,8,10,2.6,5,41.39,Needs Improvement
1332,Paul Reynolds,83,6.67,56,4.8,6,183,4,6,10,9.2,7,63.79,Average
1333,Gregory Torres,66,5.0,65,3.2,10,250,8,3,2,11.7,4,55.73,Needs Improvement
1334,Doris Flores,57,6.03,69,4.8,8,239,7,6,3,6.2,7,43.03,Needs Improvement
1335,Kathryn Williamson,40,7.4,55,3.2,3,92,10,3,6,7.7,8,34.24,Needs Improvement
1336,Steven James,72,3.07,80,3.3,1,290,9,8,3,5.3,5,55.7,Needs Improvement
1337,Andrew Garcia,51,7.85,61,4.3,7,176,5,4,6,3.1,1,43.02,Needs Improvement
1338,Frances Ryan,61,13.23,56,2.6,9,87,8,8,8,3.8,3,22.62,Needs Improvement
1339,David Murray,93,3.01,97,4.6,3,211,10,10,5,8.7,6,92.44,Excellent
1340,Steven Melendez,73,3.59,51,2.4,2,48,8,5,10,4.8,9,54.4,Needs Improvement
1341,Brandon Everett,63,14.61,78,3.9,9,278,7,1,6,8.1,10,33.79,Needs Improvement
1342,Ryan Jackson,73,4.56,58,4.6,7,52,7,7,9,2.9,1,51.54,Needs Improvement
1343,Christopher Green,89,14.61,95,1.5,8,114,10,2,1,10.5,3,32.74,Needs Improvement
1344,Brittany Roberts,89,3.51,73,4.9,7,153,9,1,1,9.6,10,58.6,Needs Improvement
1345,Gabrielle Crawford,73,2.2,55,4.2,4,286,5,4,5,10.7,6,63.23,Average
1346,Michelle Andrade,54,4.46,58,3.0,10,237,4,9,1,4.3,8,28.09,Needs Improvement
1347,Ryan Hernandez,98,12.02,67,4.6,9,176,5,6,4,11.5,5,52.05,Needs Improvement
1348,Edward Pacheco,53,2.4,74,2.3,2,189,3,1,10,3.9,4,49.3,Needs Improvement
1349,John Robinson,50,12.59,79,1.6,10,278,5,1,7,2.9,10,1.5,Needs Improvement
1350,Mark Larson,52,11.22,81,2.3,1,229,1,2,10,7.7,1,38.67,Needs Improvement
1351,Matthew Rhodes,90,3.58,88,4.3,0,86,5,9,2,11.8,8,84.93,Excellent
1352,Andrew Adams,79,9.29,54,3.8,0,3,2,10,3,10.0,2,60.28,Average
1353,Samantha Fowler,52,6.68,81,3.8,0,289,3,3,6,2.1,6,53.23,Needs Improvement
1354,Barbara Harmon,78,4.12,72,4.1,10,240,10,9,4,11.9,7,62.63,Average
1355,Stephen Webster,87,9.59,62,4.9,3,141,2,2,2,10.9,9,43.03,Needs Improvement
1356,Blake Leon,70,6.54,97,2.2,9,175,3,2,3,3.7,6,35.89,Needs Improvement
1357,Linda Clark,97,4.63,59,1.7,1,8,4,5,8,7.4,3,57.29,Needs Improvement
1358,Mr. Tony Chambers,70,2.92,90,5.0,0,297,7,9,3,4.2,3,79.78,Average
1359,Jenny Williams,99,14.71,64,2.1,6,210,7,5,10,3.3,3,39.23,Needs Improvement
1360,Nancy Williams,60,9.41,90,4.5,0,167,3,2,4,6.1,5,54.37,Needs Improvement
1361,Nicholas Johnson,68,5.28,89,3.7,4,57,6,8,1,8.5,5,55.07,Needs Improvement
1362,Tiffany Price,74,7.8,93,3.0,6,7,5,10,6,3.5,1,44.27,Needs Improvement
1363,Billy Little,77,1.54,69,3.7,9,220,1,9,4,7.5,1,59.69,Needs Improvement
1364,Felicia Simpson,97,14.48,96,1.6,10,49,5,8,10,5.8,2,33.96,Needs Improvement
1365,Brandon King,64,1.51,89,1.2,0,189,6,7,4,3.1,9,54.17,Needs Improvement
1366,Amanda Griffith,92,13.95,97,1.9,5,138,2,1,2,8.3,6,38.38,Needs Improvement
1367,Matthew Leblanc,71,14.51,80,1.1,5,13,10,7,9,2.7,6,28.47,Needs Improvement
1368,Adam Fleming,79,10.51,74,2.1,8,81,5,2,1,4.1,5,20.17,Needs Improvement
1369,Thomas Brown,57,13.85,81,4.8,1,79,3,1,5,9.2,8,40.12,Needs Improvement
1370,Erica Davis,60,5.7,74,2.4,6,32,4,9,10,2.3,1,42.14,Needs Improvement
1371,Alexis Diaz,49,14.5,100,3.7,4,68,2,3,6,9.7,4,44.55,Needs Improvement
1372,Brandon Ramirez,81,9.4,82,1.2,9,215,5,8,2,8.9,7,44.0,Needs Improvement
1373,Alexis Scott,58,12.78,57,1.5,2,91,6,3,4,2.7,3,27.7,Needs Improvement
1374,Angela Beck,65,3.96,57,4.0,5,249,3,2,7,4.0,1,50.28,Needs Improvement
1375,Maria Hernandez,53,1.29,72,3.4,8,203,3,2,5,11.3,10,49.31,Needs Improvement
1376,Miss Jenny Sanford,81,2.46,72,4.8,6,158,8,10,2,10.2,5,71.6,Average
1377,Dr. Andrew Mendez,44,5.91,100,3.2,9,60,10,7,1,6.6,1,34.5,Needs Improvement
1378,Thomas Hamilton,58,13.43,97,2.7,8,105,2,5,1,2.3,10,0.0,Needs Improvement
1379,Daniel Hernandez,64,12.67,58,1.8,3,236,6,4,1,11.1,8,34.03,Needs Improvement
1380,Misty Pham,72,9.24,71,4.4,4,125,9,1,8,11.8,6,54.72,Needs Improvement
1381,David Rodriguez,97,14.52,68,2.9,7,172,2,8,9,6.5,1,46.54,Needs Improvement
1382,Robert Lawson,83,13.1,64,4.7,1,208,4,4,9,3.2,3,44.81,Needs Improvement
1383,Larry Holmes,57,8.88,89,3.5,7,210,10,10,6,9.5,4,52.27,Needs Improvement
1384,Heather Hughes,79,10.72,100,3.1,7,264,2,2,4,3.6,10,31.74,Needs Improvement
1385,Samantha Martinez,42,11.15,72,3.3,2,170,3,5,5,3.9,6,31.57,Needs Improvement
1386,Megan Jennings,50,14.8,51,1.6,2,36,4,7,4,9.3,10,21.15,Needs Improvement
1387,Albert Solis Jr.,64,2.6,86,3.0,5,208,6,1,1,6.7,10,42.64,Needs Improvement
1388,Susan Jackson,69,1.85,73,3.3,5,195,2,6,10,4.2,9,42.29,Needs Improvement
1389,Charles Conrad,50,8.29,65,3.6,4,142,10,8,9,11.3,3,63.58,Average
1390,James Wolf,48,11.77,59,4.3,2,270,3,2,10,8.7,1,59.25,Needs Improvement
1391,Wendy Strickland,91,2.3,83,3.7,1,80,2,3,1,5.1,10,47.64,Needs Improvement
1392,Gabriel Moreno,95,11.84,85,4.7,5,242,9,10,9,7.9,8,65.34,Average
1393,Kristen Armstrong,46,4.61,53,2.3,5,285,10,7,7,9.9,8,46.36,Needs Improvement
1394,Stanley Bean,88,7.95,85,4.3,2,298,3,1,4,9.6,8,72.69,Average
1395,Alyssa Brown,54,3.06,61,4.1,6,139,2,4,3,11.3,9,47.04,Needs Improvement
1396,Karen Fisher,77,2.13,68,3.5,10,183,1,1,7,7.2,7,44.0,Needs Improvement
1397,Richard Orozco,96,9.38,83,1.0,8,229,8,5,9,7.9,5,48.34,Needs Improvement
1398,Mary Fuentes,84,7.53,53,4.6,5,251,9,3,8,3.0,10,35.23,Needs Improvement
1399,John Sullivan,52,11.55,56,3.1,9,226,10,9,8,11.6,8,47.57,Needs Improvement
1400,Mikayla Watson,49,3.12,94,1.4,7,239,10,4,1,9.3,7,45.33,Needs Improvement
1401,Jessica Morrison,98,14.28,76,2.4,0,153,9,6,7,9.0,4,60.68,Average
1402,Amanda Hughes,82,12.17,90,1.9,3,114,7,1,9,8.7,2,49.89,Needs Improvement
1403,Nicole Hanna,73,10.65,64,4.4,6,136,3,7,6,4.4,7,40.07,Needs Improvement
1404,Richard Chapman,44,10.74,99,3.8,10,114,6,9,6,6.3,2,44.2,Needs Improvement
1405,Vanessa Mitchell,86,7.97,65,1.6,7,201,7,1,9,6.0,2,50.51,Needs Improvement
1406,Miss Shirley Hale,50,10.67,68,1.2,9,73,8,4,5,8.3,4,22.77,Needs Improvement
1407,Christina Perez,46,14.82,66,2.6,7,151,6,7,10,3.4,5,19.2,Needs Improvement
1408,Karen Melton,40,5.29,55,4.1,5,115,6,8,10,11.0,4,66.44,Average
1409,Nathan Bowers,94,3.0,68,3.8,3,87,10,4,2,6.2,4,71.23,Average
1410,Grant Stevens,86,4.8,92,1.2,7,192,3,5,2,5.3,5,45.71,Needs Improvement
1411,Samantha Owens,98,12.8,58,4.2,3,233,6,9,3,11.9,3,68.87,Average
1412,Michael Martin,71,13.25,81,1.0,4,102,6,10,2,9.8,4,51.02,Needs Improvement
1413,Brittany Hill,76,1.5,98,3.6,7,262,5,10,8,8.0,7,72.52,Average
1414,Daniel Myers,80,11.3,89,1.0,6,251,7,4,9,3.1,8,36.42,Needs Improvement
1415,Molly Nelson,79,1.44,97,2.0,0,64,1,2,6,4.1,5,48.76,Needs Improvement
1416,Thomas Alvarez,78,12.29,65,2.6,8,28,7,5,5,8.3,9,26.09,Needs Improvement
1417,Alice Ellis,84,9.69,71,3.5,6,88,10,10,5,3.8,3,44.44,Needs Improvement
1418,Christine York,79,14.94,88,1.1,2,205,9,2,3,6.4,2,44.11,Needs Improvement
1419,Justin Schroeder,82,5.76,99,4.5,3,169,6,5,3,10.9,8,71.65,Average
1420,Samantha Bauer,40,7.63,72,4.4,4,65,5,9,4,9.4,6,44.7,Needs Improvement
1421,Matthew Turner,47,11.83,56,4.4,1,271,5,5,7,8.3,5,45.54,Needs Improvement
1422,Michael King,96,10.39,73,1.3,5,187,10,3,2,2.8,2,43.11,Needs Improvement
1423,Nicholas Garcia,54,2.95,81,4.5,0,223,2,4,7,2.7,9,48.91,Needs Improvement
1424,Janet Miller,85,5.98,87,1.9,2,260,9,10,3,6.5,7,59.55,Needs Improvement
1425,Ashley Chapman,57,13.63,80,1.2,8,244,8,1,7,5.6,3,24.21,Needs Improvement
1426,Shirley Ramos,89,6.3,53,1.7,0,260,4,5,6,9.3,6,62.32,Average
1427,Chad Foster,80,7.94,52,2.4,5,266,5,4,5,11.8,1,66.24,Average
1428,Stephen Wood,48,4.35,86,2.3,4,134,6,2,3,7.2,6,52.15,Needs Improvement
1429,Nicholas Boyer,47,10.16,53,4.6,1,108,9,10,10,6.1,6,49.31,Needs Improvement
1430,Angela Howard,63,1.58,70,4.4,9,221,8,2,2,11.9,7,59.32,Needs Improvement
1431,James Cox,80,11.8,55,2.5,3,238,6,8,1,3.4,2,41.04,Needs Improvement
1432,Ashley Price,53,7.48,99,5.0,3,16,3,10,9,7.9,2,63.98,Average
1433,Ricky Hall,96,11.27,94,4.7,6,91,3,8,4,11.4,5,57.68,Needs Improvement
1434,Gary Yang,79,3.18,69,4.4,8,58,7,6,7,7.8,8,50.7,Needs Improvement
1435,Natasha Stevens,81,12.78,83,4.4,3,139,8,3,3,6.6,1,58.76,Needs Improvement
1436,Alexandra Clark,80,13.31,77,3.7,7,140,5,6,7,10.6,1,53.18,Needs Improvement
1437,Bryan Garcia,63,1.25,83,2.5,5,137,6,8,5,10.8,10,52.65,Needs Improvement
1438,Jeffrey King,44,4.06,96,1.5,6,295,5,4,8,6.4,9,49.23,Needs Improvement
1439,Michael Randolph,40,14.81,69,3.1,5,233,10,1,4,8.5,2,44.1,Needs Improvement
1440,Christina Jordan,43,9.77,96,1.7,9,174,2,4,4,3.2,7,13.77,Needs Improvement
1441,Nicholas Casey,65,1.59,91,3.9,7,201,7,7,6,9.6,8,70.05,Average
1442,Eric Pruitt,58,6.49,61,3.6,4,71,4,7,7,4.0,8,34.09,Needs Improvement
1443,Charles Hicks,97,9.02,63,2.5,4,64,1,9,4,6.7,10,44.02,Needs Improvement
1444,Brian Boone,47,5.3,83,5.0,0,31,2,8,7,6.0,10,54.9,Needs Improvement
1445,Kimberly Erickson,73,4.52,86,2.1,3,152,10,7,2,7.3,2,68.12,Average
1446,Chad Mason,78,5.36,54,1.2,6,273,6,2,1,5.4,5,31.37,Needs Improvement
1447,Lisa Horton,49,6.98,93,4.4,4,125,7,3,8,7.9,9,51.07,Needs Improvement
1448,Nicole Garcia,83,5.22,53,4.1,9,174,1,9,6,7.7,6,40.06,Needs Improvement
1449,Dorothy Nixon,76,14.69,84,2.8,1,109,4,7,5,10.7,10,55.03,Needs Improvement
1450,Todd Bauer,64,11.34,77,3.6,0,76,2,3,3,8.3,9,36.64,Needs Improvement
1451,Jamie Stewart,63,2.86,51,4.1,5,137,1,5,9,6.6,4,44.95,Needs Improvement
1452,Michael Jenkins,43,4.15,58,1.7,6,86,9,5,6,8.2,2,47.42,Needs Improvement
1453,Hannah James,63,8.81,59,3.5,5,15,8,4,6,6.9,3,47.12,Needs Improvement
1454,Joann Johnson,79,6.08,100,1.9,3,120,5,6,1,5.9,4,52.42,Needs Improvement
1455,Jeanette Moore,65,8.11,75,4.6,8,68,1,1,2,7.2,7,27.62,Needs Improvement
1456,Jordan Navarro,59,7.08,60,4.7,2,186,2,3,8,8.7,4,49.72,Needs Improvement
1457,Timothy Ortega,46,9.11,83,3.7,4,194,9,3,2,5.5,8,45.33,Needs Improvement
1458,Craig Williams,56,3.93,88,3.4,0,162,8,6,5,8.9,2,75.51,Average
1459,Sheryl Herman,74,1.6,99,4.0,2,54,7,8,1,6.2,9,66.7,Average
1460,Michael Taylor,59,14.03,61,1.1,7,24,9,5,4,2.7,8,4.08,Needs Improvement
1461,Danielle Morales,65,13.46,77,4.5,2,179,9,8,1,11.0,10,63.23,Average
1462,Luke Love,63,6.92,78,2.4,0,42,7,8,2,4.9,1,47.47,Needs Improvement
1463,Stacy Fisher,43,4.88,95,2.0,6,113,7,2,4,3.2,5,26.01,Needs Improvement
1464,Brian Lutz,96,8.18,73,3.4,7,292,7,8,7,7.1,5,66.73,Average
1465,Lisa Crawford,100,14.1,71,1.9,10,156,9,10,2,11.3,3,46.89,Needs Improvement
1466,Marissa Wells,67,4.38,64,4.8,5,19,1,1,5,6.4,10,40.36,Needs Improvement
1467,Danny Silva,78,5.21,85,1.2,3,20,5,6,8,5.3,3,52.08,Needs Improvement
1468,Michelle Cabrera,89,8.04,64,4.8,7,168,5,5,6,6.3,5,56.96,Needs Improvement
1469,Ashley Johnson,72,6.76,70,2.0,6,110,1,8,10,10.9,10,35.22,Needs Improvement
1470,Jennifer Velez,77,3.04,72,2.8,5,157,4,1,9,9.9,5,58.4,Needs Improvement
1471,Jon Ramirez,63,10.35,82,3.3,2,27,1,1,6,12.0,6,41.13,Needs Improvement
1472,Jason Koch,67,13.08,65,3.3,3,86,3,3,6,7.0,5,39.81,Needs Improvement
1473,Susan Obrien,88,1.95,68,5.0,5,142,4,8,1,9.1,1,72.06,Average
1474,Vanessa Wolf,80,10.77,78,1.7,1,145,2,6,4,10.8,10,48.74,Needs Improvement
1475,Amber Brooks,69,10.04,59,2.5,8,68,3,4,10,8.1,6,26.64,Needs Improvement
1476,David Howard,72,13.29,68,3.1,10,226,1,10,3,9.2,5,23.37,Needs Improvement
1477,Jennifer Acevedo,64,3.01,50,3.7,10,54,4,3,5,2.5,3,36.46,Needs Improvement
1478,Lisa Lee,82,7.32,56,1.9,0,0,6,3,7,2.9,5,38.15,Needs Improvement
1479,Stephanie Ayala,67,2.4,81,1.1,9,72,1,1,1,5.8,7,22.89,Needs Improvement
1480,Sara House,85,14.05,63,2.1,1,87,2,9,5,10.8,9,41.03,Needs Improvement
1481,Scott Moore,47,6.37,97,4.7,1,175,4,6,3,8.0,8,51.58,Needs Improvement
1482,Carl Bryan,45,7.4,70,3.4,10,31,5,7,6,6.7,7,33.08,Needs Improvement
1483,Alexander Jordan,84,3.61,75,4.2,9,284,2,7,4,7.6,6,55.92,Needs Improvement
1484,Rodney Nunez,83,1.12,71,4.7,5,92,5,10,10,2.6,5,58.98,Needs Improvement
1485,Juan Reed,52,6.72,60,3.1,0,179,2,10,3,4.1,1,47.21,Needs Improvement
1486,Heather Thompson,47,13.57,83,1.1,9,70,6,5,10,11.3,2,28.09,Needs Improvement
1487,Justin Rasmussen,73,2.6,96,3.8,8,90,8,8,1,9.1,6,60.63,Average
1488,Christy Michael,76,10.87,64,3.6,9,296,1,1,1,6.3,5,26.52,Needs Improvement
1489,Steven Lopez,93,10.54,57,3.9,1,44,2,3,3,2.5,4,37.92,Needs Improvement
1490,Douglas Walker,90,3.37,85,2.9,6,127,7,10,7,2.8,5,61.74,Average
1491,Patricia King,86,8.88,81,1.5,2,134,10,9,1,8.7,7,59.51,Needs Improvement
1492,Michael Torres,40,8.72,70,1.3,10,277,9,9,3,10.2,4,36.36,Needs Improvement
1493,Alexis Reed,62,8.6,53,1.1,10,158,4,9,9,12.0,3,40.25,Needs Improvement
1494,David Werner,50,13.3,75,3.1,7,30,4,10,10,10.3,9,37.5,Needs Improvement
1495,Patricia Johnston,54,14.6,75,1.0,3,77,6,3,7,3.9,7,16.6,Needs Improvement
1496,Heather Lyons,59,14.67,84,2.5,8,69,5,5,3,7.4,1,34.84,Needs Improvement
1497,Brian Hudson,54,10.98,88,1.8,3,120,10,1,4,2.3,6,19.73,Needs Improvement
1498,Mark Rivera,68,9.98,83,3.7,10,281,3,4,5,10.3,4,50.83,Needs Improvement
1499,Nicole Miller,44,7.52,74,2.2,5,170,3,6,10,6.0,6,42.51,Needs Improvement
1500,Sheila Silva,96,11.93,66,2.6,3,9,5,10,2,10.5,1,55.94,Needs Improvement
1501,Julian Dunn,97,2.22,50,2.6,6,248,9,8,1,8.5,6,68.46,Average
1502,Jennifer Callahan,54,12.0,78,1.3,4,110,9,4,9,11.8,5,51.12,Needs Improvement
1503,Christopher Smith,80,3.25,85,3.4,1,185,2,2,1,9.0,10,59.13,Needs Improvement
1504,James Wheeler,90,1.41,63,4.0,8,6,1,4,10,2.5,3,42.0,Needs Improvement
1505,Christopher Salinas,57,14.73,77,3.6,8,139,9,2,2,8.4,5,40.27,Needs Improvement
1506,Rachael Riggs,41,12.69,52,1.1,7,182,8,10,6,2.3,4,21.31,Needs Improvement
1507,Roberto Johnson,98,2.99,96,2.6,7,41,3,3,2,6.5,10,53.08,Needs Improvement
1508,Troy Gonzalez,83,10.4,79,4.1,0,107,7,7,10,7.1,7,62.74,Average
1509,Larry Pena,95,10.43,50,4.4,0,33,6,5,3,6.0,3,64.29,Average
1510,Jaclyn Lee,54,12.72,65,3.6,9,163,4,9,1,5.2,9,24.84,Needs Improvement
1511,Breanna Fischer,55,9.18,55,3.6,10,149,8,5,5,3.5,8,16.61,Needs Improvement
1512,Amy King,57,13.88,62,1.9,9,95,9,3,6,4.2,3,15.34,Needs Improvement
1513,Bryce Meadows,72,7.99,95,1.8,6,160,10,7,10,3.8,6,51.59,Needs Improvement
1514,Brenda Wheeler,40,1.7,64,2.2,7,258,7,4,6,6.8,2,44.08,Needs Improvement
1515,Brian Rhodes,87,5.51,68,3.5,6,115,2,8,4,10.6,1,56.58,Needs Improvement
1516,Dennis Rodriguez,98,1.49,65,1.1,3,173,6,4,9,5.3,3,53.57,Needs Improvement
1517,Victoria Brown,49,1.16,76,3.3,9,167,1,10,6,3.7,7,42.92,Needs Improvement
1518,Megan Boyd,64,4.19,53,3.8,7,192,8,7,7,9.9,10,50.87,Needs Improvement
1519,Brian Small,94,6.13,50,4.0,6,164,4,5,10,2.8,10,34.13,Needs Improvement
1520,Kevin Martin,91,5.81,77,4.8,8,11,2,8,9,5.9,7,48.89,Needs Improvement
1521,Robert Stanton,96,3.67,57,4.3,8,187,8,2,8,8.9,9,50.89,Needs Improvement
1522,Tyler Lee,91,6.7,94,4.2,4,236,1,9,6,5.6,10,64.21,Average
1523,Sarah Miller,88,12.82,67,1.9,6,61,9,6,8,3.1,7,30.05,Needs Improvement
1524,Madison Cortez,50,10.67,77,1.2,8,291,2,9,9,11.9,3,47.91,Needs Improvement
1525,Steven Reyes,92,12.87,84,4.2,4,113,3,6,6,2.9,9,30.24,Needs Improvement
1526,William Macdonald,61,3.12,54,3.6,5,119,6,10,8,5.0,4,52.68,Needs Improvement
1527,Marcus Taylor,67,10.32,50,3.7,8,21,2,8,10,6.9,1,43.63,Needs Improvement
1528,Frank Mitchell,68,5.13,78,4.7,4,187,6,2,5,3.9,9,43.98,Needs Improvement
1529,Peter Farmer,93,9.28,59,3.1,8,60,6,7,8,10.8,3,55.18,Needs Improvement
